SAMPID	AGE	SEX	SVA_AGE	SVA_SEX
GTEX-11GS4-2326-SM-5A5KS	60-69	1	-0.0413771919618067	-0.0405672070967058
GTEX-11OF3-1326-SM-5N9FJ	60-69	1	-0.0476862617636749	-0.0482010082482368
GTEX-11TTK-1926-SM-5PNW8	60-69	2	-0.0222813459729361	-0.0256895829515515
GTEX-12696-0926-SM-5FQTV	60-69	1	-0.0983481411785438	-0.0974986424589361
GTEX-12WSG-0826-SM-5EQ5A	50-59	2	-0.00518722968374375	-0.0129515686760107
GTEX-13112-2126-SM-5GCO4	50-59	1	-0.0109181635845342	-0.00889029904137701
GTEX-1399S-0526-SM-5IJG8	30-39	2	0.0211187345114323	0.0148195015397941
GTEX-13NYB-1726-SM-5N9G2	40-49	1	-0.0262029019020481	-0.0239584767554241
GTEX-13OVI-1126-SM-5KLZF	60-69	2	-0.0705139736614256	-0.0749258863307985
GTEX-13OVL-1826-SM-5KLZR	50-59	1	-0.0998928385245756	-0.0981593167640495
GTEX-13OW6-1826-SM-5N9F9	50-59	1	-0.0291681287565113	-0.0255799002185793
GTEX-13RTJ-2226-SM-5S2Q1	60-69	1	0.0449394565524492	0.0462886088736165
GTEX-145MN-0326-SM-5QGQI	30-39	1	-0.0240348699454355	-0.0206449773133543
GTEX-147F4-2626-SM-5Q5CS	50-59	1	-0.0302488026096928	-0.0306343224946736
GTEX-1497J-0826-SM-5NQAJ	60-69	1	0.0568881425172577	0.0599681302176997
GTEX-14C39-2126-SM-664OH	40-49	1	0.0260893977906769	0.0273987070195225
GTEX-14C5O-2026-SM-5YYB1	60-69	1	-0.0321279196720566	-0.0284943081804266
GTEX-14E6D-2526-SM-5YYA9	50-59	1	-0.0316727647366243	-0.0305719294055287
GTEX-15CHQ-2126-SM-6871M	60-69	1	0.042336760535119	0.0447804862986532
GTEX-15DYW-2026-SM-6AJBD	60-69	2	0.00366858188518479	0.000454320136818079
GTEX-16MT8-1926-SM-7EPGL	60-69	2	-0.0616781873756912	-0.0628524747833977
GTEX-17F96-1926-SM-7MGWY	70-79	1	-0.0206831330982423	-0.0212153719397987
GTEX-17F97-1926-SM-7IGM4	50-59	1	0.141296755675519	0.144089435588707
GTEX-17HHY-2326-SM-7KFSR	50-59	1	0.021613160191748	0.0213733520422751
GTEX-1A3MW-2226-SM-73KUX	60-69	2	-0.116966911350175	-0.120503188851709
GTEX-1A8FM-2026-SM-7P8RN	50-59	2	0.062689482924416	0.059994111967489
GTEX-1AX8Z-2326-SM-731CR	60-69	1	0.0347474976247611	0.0354737699826855
