SAMPID	AGE	SEX	SVA_AGE	SVA_SEX
GTEX-111CU-1326-SM-5NQ8L	50-59	1	-0.0216643528666287	-0.0231609847763319
GTEX-111YS-1426-SM-5GID8	60-69	1	0.0297931313313684	0.0534041008185251
GTEX-1122O-1326-SM-5H11F	60-69	2	0.0328661399710833	0.0398770303915212
GTEX-117YX-0326-SM-5GICL	50-59	1	0.0201424673780656	-0.00641211150855058
GTEX-1192X-2526-SM-59868	50-59	1	-0.0330962113680216	-0.0227204208704802
GTEX-11DXX-1626-SM-5H11H	60-69	2	-0.0107785233157871	-0.00313279900046357
GTEX-11DXZ-1326-SM-5H11X	50-59	1	-0.0540318966937987	-0.0387925769332205
GTEX-11EQ9-1326-SM-5985X	30-39	1	-0.0275540223277701	-0.0483377952790146
GTEX-11I78-1126-SM-5A5K5	50-59	2	0.00325804932846655	0.0136616467682155
GTEX-11LCK-1926-SM-5A5KE	30-39	1	0.0536138429399892	0.0235955465691298
GTEX-11NSD-1726-SM-5N9C3	20-29	1	0.102683217845599	0.0691915519401303
GTEX-11P7K-1626-SM-5GU63	30-39	1	0.0171992360368102	-0.00643316567407046
GTEX-11P82-0826-SM-5P9GU	20-29	1	0.025116754485732	-0.00498883995902633
GTEX-11TUW-1926-SM-5BC58	60-69	1	-0.329052012837146	-0.249864781656609
GTEX-11VI4-1626-SM-5EQKO	40-49	2	-0.00415824408231533	-0.0182987841162539
GTEX-11XUK-1426-SM-5EQMG	40-49	2	-0.0580588573885412	-0.0596576295284903
GTEX-12WSK-1526-SM-5CVNO	40-49	2	-0.14936691212423	-0.103898778725711
GTEX-13111-1426-SM-5DUW3	50-59	1	0.0220060571172935	0.0335018779740392
GTEX-13113-1226-SM-5EGHT	60-69	2	-0.076338946081419	-0.0771968823621285
GTEX-131XE-0926-SM-5HL7J	50-59	1	0.0696016030701182	0.0452566582801813
GTEX-131XF-1326-SM-5GCMQ	60-69	1	0.00315379695880853	-0.015104156570432
GTEX-131XG-1726-SM-5LZUR	50-59	2	-0.0122457716789576	-0.0206733951706556
GTEX-133LE-1426-SM-5IFH1	20-29	2	0.00427882508193598	0.00171276642254982
GTEX-1399R-2026-SM-5K7WN	30-39	1	0.00972472599297865	0.0222132524661685
GTEX-1399S-2026-SM-5KM4B	30-39	2	0.0152815734070055	0.00585269957572301
GTEX-1399U-2126-SM-5IFEZ	50-59	2	-0.0393656732636767	-0.0290791514796148
GTEX-139T6-1026-SM-5IJGC	50-59	1	-0.0140741462964956	-0.0129988030593198
GTEX-139YR-2226-SM-5IFFW	50-59	1	-0.0601937290528765	-0.0620525385621611
GTEX-13CF3-1226-SM-5LZXN	60-69	2	-0.11025012802335	-0.0481716557559207
GTEX-13D11-0726-SM-5LZZB	50-59	2	-0.0143471056104037	-0.00431461453394739
GTEX-13FH7-1226-SM-5IJFK	50-59	2	-0.0425087551689863	-0.0454840432623068
GTEX-13FTW-2026-SM-5IJE2	40-49	1	-0.0276432716780278	-0.0265368845909066
GTEX-13NYB-1826-SM-5J1N3	40-49	1	0.00123569595303866	0.0134899812339686
GTEX-13O21-1026-SM-5IJDU	50-59	1	-0.0608341167271475	-0.0585734104189439
GTEX-13O61-1326-SM-5KM31	60-69	1	-0.0633966118942872	-0.0807718276947159
GTEX-13OVI-1926-SM-5IJCG	60-69	2	-0.0908082202459069	-0.0523385830382112
GTEX-13PL7-2626-SM-5IFH4	60-69	2	-0.0658631241598895	-0.0599601509795272
GTEX-13QBU-1926-SM-5IJEW	40-49	2	0.0110159289392234	0.0242948092923411
GTEX-13RTK-0826-SM-5Q5C6	20-29	1	0.0228103510542933	0.00797679894507035
GTEX-13W3W-2026-SM-5K7UL	60-69	2	-0.118672660594409	-0.1145827945506
GTEX-13X6H-1826-SM-7EWCZ	50-59	2	0.00203332814047233	-0.0185734192719676
GTEX-144GM-1026-SM-79OKU	20-29	1	0.106376425993843	0.119142035934734
GTEX-148VJ-2226-SM-5NQ9M	70-79	1	0.0655840067365908	0.114758419547203
GTEX-1497J-1926-SM-5TDCC	60-69	1	-0.00279999418749349	-0.0146249567477422
GTEX-14BMU-1426-SM-5TDE5	20-29	2	0.0665922529707841	0.0373920895040839
GTEX-14C39-1826-SM-5ZZW4	40-49	1	0.0132557025045363	0.010597043835414
GTEX-14DAR-1426-SM-5RQIR	50-59	1	0.0349178321574806	0.0261402966729272
GTEX-14E6E-1626-SM-5RQI7	30-39	1	0.0366435383998299	0.0119416168844732
GTEX-14PJ3-1326-SM-664O7	50-59	1	-0.061866738221098	-0.0664219366166711
GTEX-14PJ6-1726-SM-6AJBN	60-69	2	-0.00273521531636834	-0.0032055458959776
GTEX-14PJN-0826-SM-686ZL	30-39	1	-0.011206905881258	-0.0306926460431767
GTEX-14PK6-1626-SM-6871I	70-79	2	-0.0735747636126325	-0.047653210299856
GTEX-14PKU-1626-SM-6871C	40-49	2	-0.0337016644158618	-0.0276150091919635
GTEX-14PKV-2026-SM-6AJ9A	20-29	2	-0.0254574700586141	-0.0132032589575499
GTEX-14PN3-2026-SM-68729	60-69	2	0.00652154473839541	0.0328205961452688
GTEX-14XAO-1926-SM-6ETZO	60-69	2	0.0266679111306234	0.0195501517052932
GTEX-15DZA-0826-SM-6AJBF	30-39	2	0.0257983861770271	0.0344669430478588
GTEX-15EU6-1826-SM-7PC1W	50-59	1	0.106387223331419	0.094429287864486
GTEX-15G1A-1726-SM-6LPI4	30-39	1	0.0458287551843386	0.0530693490852333
GTEX-16A39-1426-SM-6LLI6	30-39	2	0.0927138441991039	0.0799013529944498
GTEX-16AAH-1426-SM-7KFTR	50-59	1	-0.0102302775828523	-0.010458531813371
GTEX-16MTA-1526-SM-6LPJB	50-59	1	0.00567669827221331	-0.00687206150277833
GTEX-16NGA-1126-SM-7KFSY	40-49	2	0.0218316172009596	0.00202004430363431
GTEX-17HHE-1726-SM-79OKT	50-59	1	0.00811976595999878	0.0144602586107185
GTEX-17KNJ-1626-SM-718AL	50-59	1	0.0242643230456659	0.00499412966209723
GTEX-17MFQ-1026-SM-7KFSZ	20-29	1	0.0644787800499662	0.0281123456029698
GTEX-183FY-1626-SM-793D8	20-29	1	0.109723776929173	0.0653448516557193
GTEX-18A66-2526-SM-7KFTZ	60-69	1	-0.0165137027183707	-0.0189948535687842
GTEX-18QFQ-1626-SM-72D7H	30-39	1	0.132273779450283	0.0956049923485949
GTEX-1AMFI-1926-SM-731F2	50-59	2	0.114412963146811	0.1140526725666
GTEX-1AX8Z-2526-SM-731E3	60-69	1	0.0416558011940584	0.0250192944102203
GTEX-1B8KE-1726-SM-7IGMN	50-59	1	0.0679205178900355	0.0719187729155803
GTEX-1B8KZ-1126-SM-7IGLX	50-59	1	-0.0394440011981612	-0.00999473179120356
GTEX-1BAJH-2526-SM-7IGOT	70-79	1	-0.17516846657241	-0.115935388140905
GTEX-1C475-1426-SM-793CH	40-49	2	0.0285809818055295	0.0155790258290113
GTEX-1C64O-2526-SM-79ONO	60-69	1	-0.0121458806440405	-0.0220926548730895
GTEX-1CAMR-0826-SM-7MKFK	20-29	1	-0.0193213635907989	-0.0376383005030547
GTEX-1CAMS-2426-SM-7DHMV	40-49	2	-0.0218861499805003	-0.0205195285289658
GTEX-1CB4F-1826-SM-7MGXI	60-69	1	0.0566965805789876	0.0648188381375285
GTEX-1EMGI-2826-SM-7IGMR	60-69	1	-0.21458767171489	-0.178786973740444
GTEX-1F75I-2526-SM-9WPOZ	40-49	1	0.0594388888120088	0.0486019523653031
GTEX-1GL5R-2026-SM-7MKHP	50-59	1	-0.0559054360151453	-0.0777779033914192
GTEX-1GMR2-1026-SM-7MKHJ	50-59	1	-0.0441499747301677	-0.0319274905811793
GTEX-1GMR3-2726-SM-7MKFB	40-49	1	-0.134946891293695	-0.0644728291148481
GTEX-1JMQK-2426-SM-CXZJU	60-69	1	0.0415991234290039	0.0505177547279042
GTEX-1JN76-1126-SM-C1YRL	20-29	2	0.0454722488473822	0.0254544160372044
GTEX-1K9T9-2726-SM-D4P3E	50-59	2	-0.051600623014058	-0.0176032735869536
GTEX-1KXAM-2026-SM-DHXKI	60-69	1	0.0437841313352888	0.0135414803874802
GTEX-1L5NE-1826-SM-EV79T	50-59	1	0.0294445741819817	0.0165294094110216
GTEX-1LBAC-1526-SM-CXZKU	20-29	1	0.097797220059123	0.0714409971031103
GTEX-1LGOU-1426-SM-D3L8N	20-29	2	-0.00846613190479207	-0.010917886406699
GTEX-1LH75-1926-SM-DIPGD	50-59	2	0.049062264516526	0.0452965451780501
GTEX-1MGNQ-2326-SM-EV7BG	40-49	1	0.0787998691665631	0.0556195440139538
GTEX-1MUQO-2426-SM-EAZ5A	60-69	1	0.0536616600297279	0.0557253896627044
GTEX-1NSGN-2126-SM-DPRYN	50-59	1	0.0741209925078562	0.0476885421296231
GTEX-1OJC3-1626-SM-E9U65	20-29	1	0.0408792235170799	0.00672755571840354
GTEX-1OKEX-1126-SM-DTXEB	60-69	1	0.0543392759762261	0.0307799397738005
GTEX-1PDJ9-1826-SM-E9U66	20-29	1	0.0755006191858444	0.0365015256728297
GTEX-1PIEJ-1526-SM-E6CP8	20-29	2	0.0257497740410363	0.0060010851556209
GTEX-1QCLZ-2126-SM-EWRNC	60-69	2	-0.0291312434132706	-0.0365513221431716
GTEX-1QP28-1726-SM-E6CRK	50-59	2	0.0204380362859776	-0.00192587017752806
GTEX-1QP2A-2426-SM-EXOJA	50-59	1	0.0435373109277573	0.0231489875241786
GTEX-1QPFJ-2626-SM-DPRZU	30-39	2	-0.0240845480704576	-0.0276868499197225
GTEX-1QW4Y-1226-SM-EWRMY	30-39	1	-0.00927985018496381	-0.0228469333522514
GTEX-1R7EU-1326-SM-E6CQ6	60-69	1	-0.0763376022720132	-0.0598179949377402
GTEX-1R7EV-1226-SM-DTX82	40-49	1	0.097928304149001	0.0923461047292038
GTEX-1R9JW-1926-SM-EVR4J	30-39	2	0.000833132212003033	-0.0182763370046782
GTEX-1R9K4-2326-SM-E6CRB	60-69	1	-0.136162771670059	-0.0507123254046347
GTEX-1R9K5-2026-SM-E6CPS	50-59	1	0.0653661631272676	0.0597730918756572
GTEX-1R9PM-1626-SM-DPRY9	20-29	1	0.121207713210984	0.102030930327232
GTEX-1RAZA-1826-SM-DTXA2	20-29	1	0.00418281912313113	-0.0130187870773349
GTEX-1RAZQ-2226-SM-DPRZR	30-39	1	-0.0379884965447456	-0.0594030233969826
GTEX-1RAZR-1826-SM-E6CRE	40-49	1	0.00367191483825058	-0.00600690959661639
GTEX-1S5ZA-1326-SM-EV7BB	20-29	1	-0.0129976600102851	-0.0143126266458971
GTEX-1S82Z-1826-SM-E9TIK	30-39	2	0.0646198238335949	0.049234029755537
GTEX-UPK5-2026-SM-4JBIM	40-49	1	0.0495257556926956	0.0555797549446745
GTEX-VJYA-0926-SM-4KL1N	60-69	1	-0.0623719709188167	-0.0367084057916686
GTEX-VUSG-1726-SM-4KKZL	50-59	1	-0.0534036268680821	-0.0212987732953638
GTEX-WEY5-1526-SM-4LMJF	40-49	2	-0.0500157100905773	-0.0351757357772316
GTEX-WFG7-1726-SM-4LVME	20-29	1	0.0159439729131048	0.00176409583375879
GTEX-WFG8-1626-SM-4LVMB	20-29	1	0.0635285442568194	0.0447011793804609
GTEX-WFJO-0926-SM-4LVM2	30-39	1	0.0660992126556318	0.0344326158457291
GTEX-WFON-1526-SM-4LVMP	40-49	1	-0.0144034945933627	-0.0311507709131428
GTEX-WH7G-1626-SM-4LVMY	40-49	1	0.11387525289416	0.102726468734386
GTEX-WHSB-1026-SM-4M1XN	50-59	1	0.00829560590769915	-0.00531534856855957
GTEX-WQUQ-2426-SM-4MVNW	60-69	1	0.0219094075475971	0.0401763649908426
GTEX-WRHK-1026-SM-4MVOD	20-29	2	0.0989946020906496	0.089296631762365
GTEX-WY7C-1826-SM-4ONCE	50-59	1	0.0182789613246134	-0.00063732776728752
GTEX-WYJK-1526-SM-4ONCW	50-59	1	0.0566024852523304	0.0560857830789564
GTEX-X15G-1426-SM-4PQZK	50-59	2	0.0147393299277606	0.0321614466487339
GTEX-X5EB-1626-SM-4E3IV	40-49	1	-0.0378614781309926	-0.0234605602358222
GTEX-XAJ8-0526-SM-47JYK	40-49	1	-0.00692320397807026	-0.00108584824755242
GTEX-XBED-1426-SM-4AT4G	60-69	1	0.0109242877496263	0.0170684472302201
GTEX-XGQ4-1326-SM-4GIDU	50-59	1	0.0165064563167194	-0.0179779756500528
GTEX-XMK1-1826-SM-4B66F	40-49	1	0.00980336682680332	0.00996485238721575
