SAMPID	AGE	SEX	SVA_AGE	SVA_SEX
GTEX.111YS.0526.SM.5GZXJ	GTEX-111YS-0526-SM-5GZXJ	60-69	2	-0.0200474659083693	-0.071594669675706
GTEX.1122O.1126.SM.5NQ8X	GTEX-1122O-1126-SM-5NQ8X	60-69	1	-0.227786132572386	-0.113483917610648
GTEX.1128S.0326.SM.5GZZF	GTEX-1128S-0326-SM-5GZZF	60-69	1	-0.182951591904415	-0.284790919977759
GTEX.117XS.0426.SM.5GZZN	GTEX-117XS-0426-SM-5GZZN	60-69	2	-0.173465588756106	-0.168451094841271
GTEX.117YW.0226.SM.5N9CM	GTEX-117YW-0226-SM-5N9CM	50-59	2	-0.00387031116548144	-0.00302673095612415
GTEX.11DXX.0426.SM.5EQ5F	GTEX-11DXX-0426-SM-5EQ5F	60-69	1	0.27106219349926	0.380791840387683
GTEX.11DXZ.0426.SM.5987Y	GTEX-11DXZ-0426-SM-5987Y	50-59	2	-0.0493792413365018	-0.0394770331893959
GTEX.11DYG.1226.SM.5N9DC	GTEX-11DYG-1226-SM-5N9DC	60-69	2	-0.153024388886825	-0.303011782453115
GTEX.11EM3.0226.SM.5985Y	GTEX-11EM3-0226-SM-5985Y	20-29	1	-0.190679243321517	-0.0643348548494929
GTEX.11EMC.0926.SM.59863	GTEX-11EMC-0926-SM-59863	60-69	1	-0.0367666219324641	-0.0809249251235889
GTEX.11GS4.0326.SM.5N9F7	GTEX-11GS4-0326-SM-5N9F7	60-69	2	0.0116311404902	-0.0155587430214786
GTEX.11GSP.1126.SM.5A5LM	GTEX-11GSP-1126-SM-5A5LM	60-69	1	0.0756985308709753	-0.0289931215106758
GTEX.11I78.0726.SM.5A5M1	GTEX-11I78-0726-SM-5A5M1	50-59	1	0.171405065867864	0.187556608378927
GTEX.11LCK.0726.SM.5PNYC	GTEX-11LCK-0726-SM-5PNYC	30-39	2	-0.151513982204445	-0.0632438079680738
GTEX.11NUK.0726.SM.5A5ME	GTEX-11NUK-0726-SM-5A5ME	50-59	2	-0.0682412234368212	-0.0715886333712881
GTEX.11ONC.0926.SM.5BC5E	GTEX-11ONC-0926-SM-5BC5E	60-69	2	0.0749528832971489	0.0154856401031898
GTEX.11P81.0326.SM.5HL6B	GTEX-11P81-0326-SM-5HL6B	30-39	1	-0.220341646386783	-0.067417494078469
GTEX.11P82.0126.SM.5HL72	GTEX-11P82-0126-SM-5HL72	20-29	2	0.112878241623946	0.189742615830397
GTEX.11TT1.1226.SM.5Q5AV	GTEX-11TT1-1226-SM-5Q5AV	20-29	2	-0.0388509149849012	0.20418957820464
GTEX.11TUW.0926.SM.5EQMW	GTEX-11TUW-0926-SM-5EQMW	60-69	2	0.100201551388144	-0.00368508623778788
GTEX.11UD2.0826.SM.5EQKS	GTEX-11UD2-0826-SM-5EQKS	50-59	2	-0.206729478709077	-0.318798364789988
GTEX.11WQK.0326.SM.5EQL1	GTEX-11WQK-0326-SM-5EQL1	50-59	2	-0.0213929079586311	0.0328903756165041
GTEX.11ZTS.0826.SM.5EQ49	GTEX-11ZTS-0826-SM-5EQ49	60-69	1	-0.065319841381372	-0.117078801757274
GTEX.11ZVC.0326.SM.5CVLC	GTEX-11ZVC-0326-SM-5CVLC	50-59	1	-0.0828792301504457	-0.145906807687959
