SAMPID	AGE	SEX	SVA_AGE	SVA_SEX
GTEX.111CU.1426.SM.5GZYP	GTEX-111CU-1426-SM-5GZYP	50-59	2	0.167707244575412	0.44418612761536
GTEX.111VG.2226.SM.5N9DU	GTEX-111VG-2226-SM-5N9DU	60-69	2	0.00731113870783874	-0.346207491349565
GTEX.111YS.1626.SM.5GZZ9	GTEX-111YS-1626-SM-5GZZ9	60-69	2	-0.608864632880217	-0.524551151336509
GTEX.1122O.1526.SM.5N9CL	GTEX-1122O-1526-SM-5N9CL	60-69	1	0.28780346646136	0.589579195656895
GTEX.1128S.1626.SM.5H12O	GTEX-1128S-1626-SM-5H12O	60-69	1	0.316519727254289	0.175644238772467
GTEX.117YW.1826.SM.5PNY5	GTEX-117YW-1826-SM-5PNY5	50-59	2	0.129783850464439	0.363025435907069
GTEX.117YX.0826.SM.5H11J	GTEX-117YX-0826-SM-5H11J	50-59	2	-0.642860726056957	-0.561690586656961
GTEX.11DXX.1826.SM.5H126	GTEX-11DXX-1826-SM-5H126	60-69	1	0.287853936402416	0.395951996072611
GTEX.11DXZ.1726.SM.5H12M	GTEX-11DXZ-1726-SM-5H12M	50-59	2	0.35336267412607	0.481966152816475
GTEX.11EM3.1526.SM.5A5KN	GTEX-11EM3-1526-SM-5A5KN	20-29	1	0.0746510364355757	0.221270503676722
GTEX.11EQ9.1426.SM.5987G	GTEX-11EQ9-1426-SM-5987G	30-39	2	-0.353188222961618	-0.239998896881341
GTEX.11GSP.1626.SM.5986N	GTEX-11GSP-1626-SM-5986N	60-69	1	-0.203264013780527	-0.481062507473738
GTEX.11I78.1226.SM.5A5K6	GTEX-11I78-1226-SM-5A5K6	50-59	1	0.238284265319976	0.303940866079667
GTEX.11LCK.2026.SM.5A5MA	GTEX-11LCK-2026-SM-5A5MA	30-39	2	0.131041468205752	0.196253950201128
GTEX.11NSD.1626.SM.5986U	GTEX-11NSD-1626-SM-5986U	20-29	2	-0.0551768438773188	-0.0192719909319429
GTEX.11O72.2226.SM.5PNW2	GTEX-11O72-2226-SM-5PNW2	40-49	2	0.0108459514022251	-0.353353153519005
GTEX.11ONC.2026.SM.5HL61	GTEX-11ONC-2026-SM-5HL61	60-69	2	-0.154472266669131	-0.381187615510526
GTEX.11P7K.1526.SM.5EGI7	GTEX-11P7K-1526-SM-5EGI7	30-39	2	0.233604877731965	0.429637919499241
GTEX.11P81.1126.SM.5GU5G	GTEX-11P81-1126-SM-5GU5G	30-39	1	-0.689023706337744	-0.640220496499529
GTEX.11P82.1026.SM.5BC5J	GTEX-11P82-1026-SM-5BC5J	20-29	2	0.142407110128518	0.343632629748975
GTEX.11TT1.1026.SM.5PNW7	GTEX-11TT1-1026-SM-5PNW7	20-29	2	-0.201679611147666	0.190222617248176
GTEX.11TTK.2426.SM.5PNYO	GTEX-11TTK-2426-SM-5PNYO	60-69	1	-0.445587568877957	-0.630789171859529
GTEX.11TUW.2026.SM.5EQL8	GTEX-11TUW-2026-SM-5EQL8	60-69	2	-0.147454872538284	-0.225637190562274
GTEX.11VI4.1526.SM.5EQKC	GTEX-11VI4-1526-SM-5EQKC	40-49	1	0.416501342935899	0.39674075155579
GTEX.11ZVC.2126.SM.5EGJ1	GTEX-11ZVC-2126-SM-5EGJ1	50-59	1	0.0829905735050752	-0.28166828590099
GTEX.1211K.1726.SM.5FQUJ	GTEX-1211K-1726-SM-5FQUJ	60-69	1	0.442255666708583	0.326812366273477
GTEX.12C56.0626.SM.5EGGC	GTEX-12C56-0626-SM-5EGGC	20-29	2	0.273534386627735	0.388934711758765
GTEX.12KS4.2426.SM.5LU8P	GTEX-12KS4-2426-SM-5LU8P	30-39	2	-0.0920750531549536	-0.191726476579383
GTEX.12WSJ.1526.SM.5GCNI	GTEX-12WSJ-1526-SM-5GCNI	40-49	1	-0.586509726078274	-0.690141679516723
GTEX.12WSL.1626.SM.5GCMU	GTEX-12WSL-1626-SM-5GCMU	50-59	2	-0.665245433757581	-0.542331349747927
GTEX.12ZZZ.2426.SM.5GCNN	GTEX-12ZZZ-2426-SM-5GCNN	60-69	2	-0.163578489662498	-0.487645965996159
GTEX.13111.0726.SM.5DUVE	GTEX-13111-0726-SM-5DUVE	50-59	2	0.155781098453517	0.103969580310231
GTEX.131XE.0826.SM.5HL9W	GTEX-131XE-0826-SM-5HL9W	50-59	2	0.406285686955709	0.350043167632791
GTEX.131XG.1826.SM.5LZV4	GTEX-131XG-1826-SM-5LZV4	50-59	1	0.141663127958009	0.372591728708824
GTEX.132AR.2726.SM.5PNVN	GTEX-132AR-2726-SM-5PNVN	50-59	1	0.392214333428877	0.689794537172012
GTEX.1339X.1626.SM.5IJDN	GTEX-1339X-1626-SM-5IJDN	40-49	2	-0.470161169040997	-0.466475169437005
GTEX.133LE.1526.SM.5IFEN	GTEX-133LE-1526-SM-5IFEN	20-29	1	0.17081976342681	0.324586857681971
GTEX.1399R.2226.SM.5P9JB	GTEX-1399R-2226-SM-5P9JB	30-39	2	0.049646682803744	0.446603567007434
GTEX.1399S.1926.SM.5J2M5	GTEX-1399S-1926-SM-5J2M5	30-39	1	0.1752915758778	0.380616034259333
GTEX.1399U.1926.SM.5IFH7	GTEX-1399U-1926-SM-5IFH7	50-59	1	0.186672324603663	0.300252220068983
GTEX.139T6.1326.SM.5IFFO	GTEX-139T6-1326-SM-5IFFO	50-59	2	0.507409676333984	0.623015066802052
GTEX.139TS.1926.SM.5IJFO	GTEX-139TS-1926-SM-5IJFO	60-69	2	0.507666482719826	0.441707014100217
GTEX.139YR.2126.SM.5KM11	GTEX-139YR-2126-SM-5KM11	50-59	2	0.0536625329972765	0.176488322671907
GTEX.13CF3.1426.SM.5K7YY	GTEX-13CF3-1426-SM-5K7YY	60-69	1	-0.447118532052611	-0.500859748886683
GTEX.13D11.0826.SM.5KLZJ	GTEX-13D11-0826-SM-5KLZJ	50-59	1	0.319794180372621	0.379809280007887
GTEX.13FH7.1526.SM.5J2N6	GTEX-13FH7-1526-SM-5J2N6	50-59	1	-0.318609930442318	-0.335411270246358
GTEX.13FHP.2426.SM.5KLZ5	GTEX-13FHP-2426-SM-5KLZ5	50-59	2	-0.156260587835496	-0.572222724113139
GTEX.13FTW.1826.SM.5IJEN	GTEX-13FTW-1826-SM-5IJEN	40-49	2	0.369397566597232	0.555959318921191
GTEX.13O21.2426.SM.5MR4A	GTEX-13O21-2426-SM-5MR4A	50-59	2	0.0721592321482287	0.368220098795433
GTEX.13O3O.2526.SM.5L3DR	GTEX-13O3O-2526-SM-5L3DR	60-69	1	-0.16281830324379	-0.57393517421029
GTEX.13O3P.2326.SM.5KM55	GTEX-13O3P-2326-SM-5KM55	50-59	2	-0.358700888358836	-0.550085888857448
GTEX.13O61.1626.SM.5KM3T	GTEX-13O61-1626-SM-5KM3T	60-69	2	-0.445147424012114	-0.439342253789695
GTEX.13OVG.1426.SM.5K7VP	GTEX-13OVG-1426-SM-5K7VP	60-69	2	0.226331717775869	0.0163468650423161
GTEX.13OVI.2026.SM.5J1MU	GTEX-13OVI-2026-SM-5J1MU	60-69	1	-0.404797327683757	-0.634421860307263
GTEX.13OVJ.1726.SM.5IJDZ	GTEX-13OVJ-1726-SM-5IJDZ	50-59	1	0.273701568896557	0.0686811148074406
GTEX.13OVK.0826.SM.7KULZ	GTEX-13OVK-0826-SM-7KULZ	40-49	2	-0.127793911412906	-0.271463157191566
GTEX.13OW5.2626.SM.5MR3M	GTEX-13OW5-2626-SM-5MR3M	60-69	2	-0.0432210138136583	-0.214608555258449
GTEX.13OW6.2126.SM.5N9GL	GTEX-13OW6-2126-SM-5N9GL	50-59	2	0.141603238124085	-0.0337889836769222
GTEX.13PL7.2526.SM.5IFGR	GTEX-13PL7-2526-SM-5IFGR	60-69	1	0.377697736560644	0.420551442648015
GTEX.13PVR.1626.SM.73KVF	GTEX-13PVR-1626-SM-73KVF	60-69	1	0.303228355056596	0.27366401131283
GTEX.13QBU.1826.SM.5IJG3	GTEX-13QBU-1826-SM-5IJG3	40-49	1	0.221947372022217	0.297471057305364
GTEX.13QJ3.2626.SM.9OSXQ	GTEX-13QJ3-2626-SM-9OSXQ	50-59	2	0.172322702255136	-0.179497031526197
GTEX.13S86.1626.SM.5Q5C5	GTEX-13S86-1626-SM-5Q5C5	40-49	2	-0.412396178603127	-0.205262904202592
GTEX.13U4I.2426.SM.5LU34	GTEX-13U4I-2426-SM-5LU34	40-49	1	-0.428664712191197	-0.522228411970569
GTEX.13VXT.2426.SM.5LU46	GTEX-13VXT-2426-SM-5LU46	20-29	1	-0.213677536651321	-0.258492444494161
GTEX.13W3W.2126.SM.5K7UX	GTEX-13W3W-2126-SM-5K7UX	60-69	1	0.0524633616760539	-0.0171471222889143
GTEX.13X6H.1926.SM.7EWD3	GTEX-13X6H-1926-SM-7EWD3	50-59	1	0.0275156857024235	0.25625112260698
GTEX.144GL.2526.SM.5TDDL	GTEX-144GL-2526-SM-5TDDL	50-59	2	0.167992419167975	-0.246028341661507
GTEX.144GM.1226.SM.5LU52	GTEX-144GM-1226-SM-5LU52	20-29	2	0.433613089489832	0.535932599975796
GTEX.145MN.1726.SM.5SIA6	GTEX-145MN-1726-SM-5SIA6	30-39	2	-0.32233480980783	-0.0107393673673866
GTEX.145MO.2426.SM.5NQ9W	GTEX-145MO-2426-SM-5NQ9W	60-69	2	0.0778596404752703	-0.220298808412544
GTEX.146FQ.1926.SM.5NQBY	GTEX-146FQ-1926-SM-5NQBY	30-39	2	0.229462968798143	0.426847910497415
GTEX.147F3.1926.SM.5SIB9	GTEX-147F3-1926-SM-5SIB9	50-59	1	0.145630157469831	0.062098437354861
GTEX.147GR.2726.SM.664OO	GTEX-147GR-2726-SM-664OO	60-69	2	0.562325858517145	0.723056689844495
GTEX.147JS.2526.SM.5S2Q8	GTEX-147JS-2526-SM-5S2Q8	60-69	2	0.207558826156737	-0.280114615108977
GTEX.148VJ.2626.SM.5QGPI	GTEX-148VJ-2626-SM-5QGPI	70-79	2	-0.157421620323918	-0.27161928376055
GTEX.14AS3.1126.SM.5Q5CR	GTEX-14AS3-1126-SM-5Q5CR	40-49	1	-0.624284273529972	-0.721628310888124
GTEX.14BIN.3026.SM.5ZZUS	GTEX-14BIN-3026-SM-5ZZUS	50-59	1	-0.101620377524991	-0.424816373539091
GTEX.14BMU.1526.SM.5TDE6	GTEX-14BMU-1526-SM-5TDE6	20-29	1	0.153376618294656	0.337486952960734
GTEX.14BMV.2426.SM.5S2PP	GTEX-14BMV-2426-SM-5S2PP	50-59	2	-0.161321232061143	-0.369169804088165
GTEX.14C39.1926.SM.5ZZW5	GTEX-14C39-1926-SM-5ZZW5	40-49	2	0.00804109885326806	-0.161909918304408
GTEX.14C5O.2526.SM.73KU2	GTEX-14C5O-2526-SM-73KU2	60-69	2	-0.0857567086190672	-0.363382553963675
GTEX.14DAQ.2726.SM.5S2QY	GTEX-14DAQ-2726-SM-5S2QY	60-69	1	-0.336856210725955	-0.718172732857389
GTEX.14DAR.1526.SM.5RQIX	GTEX-14DAR-1526-SM-5RQIX	50-59	2	0.293818400943623	0.566861681909575
GTEX.14E1K.1826.SM.793DT	GTEX-14E1K-1826-SM-793DT	50-59	2	-0.750365411691156	-0.649627418558052
GTEX.14E6E.1526.SM.5RQIG	GTEX-14E6E-1526-SM-5RQIG	30-39	2	0.315405023536422	0.709392068997499
GTEX.14H4A.1926.SM.5ZZWN	GTEX-14H4A-1926-SM-5ZZWN	40-49	1	-0.448032173297545	-0.49854800212798
GTEX.14ICK.1026.SM.6AJA4	GTEX-14ICK-1026-SM-6AJA4	40-49	2	0.123997752592482	0.0286338748675794
GTEX.14JG6.1726.SM.69LPL	GTEX-14JG6-1726-SM-69LPL	30-39	1	-0.049241783062784	-0.0553484826734208
GTEX.14JIY.3326.SM.6871E	GTEX-14JIY-3326-SM-6871E	60-69	2	0.399609543861347	0.570248825113483
GTEX.14PHX.1526.SM.68717	GTEX-14PHX-1526-SM-68717	50-59	2	0.470846267120481	0.507798333623646
GTEX.14PJ3.0926.SM.69LQG	GTEX-14PJ3-0926-SM-69LQG	50-59	2	-0.300190274022123	-0.242427711783747
GTEX.14PJ4.1926.SM.6LLHG	GTEX-14PJ4-1926-SM-6LLHG	60-69	2	0.329827546796627	0.424851273277094
GTEX.14PJ5.0926.SM.6LLIK	GTEX-14PJ5-0926-SM-6LLIK	60-69	1	-0.105938078508975	-0.289593936764689
GTEX.14PJM.2626.SM.686ZD	GTEX-14PJM-2626-SM-686ZD	50-59	1	-0.0642581845153231	-0.213654544116056
GTEX.14PK6.1726.SM.6871J	GTEX-14PK6-1726-SM-6871J	70-79	1	0.391044585805207	0.286477966787081
GTEX.14PKV.2126.SM.664O3	GTEX-14PKV-2126-SM-664O3	20-29	1	0.0126060764046307	0.229042572176706
GTEX.14XAO.2026.SM.69LOI	GTEX-14XAO-2026-SM-69LOI	60-69	1	0.249747535464478	0.458700394789758
GTEX.15CHC.1626.SM.5ZZWS	GTEX-15CHC-1626-SM-5ZZWS	60-69	1	-0.440226953172537	-0.552672679339803
GTEX.15CHQ.2526.SM.6EU24	GTEX-15CHQ-2526-SM-6EU24	60-69	2	-0.225765502819056	-0.52426958115093
GTEX.15CHR.1426.SM.7DUGV	GTEX-15CHR-1426-SM-7DUGV	50-59	2	0.276311413721708	0.399307962340023
GTEX.15DCE.2026.SM.7KUFE	GTEX-15DCE-2026-SM-7KUFE	20-29	2	0.0484955108844093	0.13873223638794
GTEX.15DYW.2326.SM.6PAMU	GTEX-15DYW-2326-SM-6PAMU	60-69	1	0.0453607454999947	-0.342934685653636
GTEX.15DZA.0926.SM.69LQ3	GTEX-15DZA-0926-SM-69LQ3	30-39	1	-0.50919590655301	-0.600726315113239
GTEX.15ER7.2926.SM.7KUFK	GTEX-15ER7-2926-SM-7KUFK	20-29	1	0.0770035850997204	0.0826110784481999
GTEX.15G1A.1826.SM.7KUKO	GTEX-15G1A-1826-SM-7KUKO	30-39	2	-0.244739795117991	-0.0264920923455093
GTEX.15RIE.1826.SM.6M48P	GTEX-15RIE-1826-SM-6M48P	60-69	2	0.140714750657091	0.117221111314481
GTEX.15RIF.1326.SM.6LPKO	GTEX-15RIF-1326-SM-6LPKO	20-29	2	-0.0268856930942291	0.361673812538279
GTEX.15SB6.1226.SM.7KUMP	GTEX-15SB6-1226-SM-7KUMP	50-59	1	0.0125720172671232	0.128253770625677
GTEX.15SHU.2526.SM.6M47D	GTEX-15SHU-2526-SM-6M47D	40-49	1	-0.281129713026518	-0.545926652759899
GTEX.15UF6.2626.SM.6M466	GTEX-15UF6-2626-SM-6M466	70-79	1	-0.185900832569057	-0.523631123456888
GTEX.16AAH.1326.SM.7KFRG	GTEX-16AAH-1326-SM-7KFRG	50-59	2	0.237296095144033	0.61661963038935
