SAMPID	AGE	SEX	SVA_AGE	SVA_SEX
GTEX.111CU.0826.SM.5EGIJ	GTEX-111CU-0826-SM-5EGIJ	50-59	2	0.135407607536979	0.0822023172075066
GTEX.111YS.0826.SM.5GZYK	GTEX-111YS-0826-SM-5GZYK	60-69	2	-0.184393453748457	-0.12832868536182
GTEX.1122O.1826.SM.5EGIP	GTEX-1122O-1826-SM-5EGIP	60-69	1	-0.0718686590612295	-0.0697938461423273
GTEX.113JC.1026.SM.5H117	GTEX-113JC-1026-SM-5H117	50-59	1	0.167475017793124	0.174952757728984
GTEX.1192X.1826.SM.5GIE2	GTEX-1192X-1826-SM-5GIE2	50-59	2	-0.200299727132076	-0.250963215266468
GTEX.11DXX.1226.SM.5GICD	GTEX-11DXX-1226-SM-5GICD	60-69	1	0.0998570599273804	0.141407083082287
GTEX.11DXZ.1026.SM.5N9D5	GTEX-11DXZ-1026-SM-5N9D5	50-59	2	0.311909891967143	0.362134623389556
GTEX.11DYG.1926.SM.5H12I	GTEX-11DYG-1926-SM-5H12I	60-69	2	0.108995082615857	0.133878296557192
GTEX.11EM3.0926.SM.5A5KK	GTEX-11EM3-0926-SM-5A5KK	20-29	1	-0.0019532770812519	-0.029561824369076
GTEX.11EQ9.0926.SM.5HL6I	GTEX-11EQ9-0926-SM-5HL6I	30-39	2	0.00237785764484083	-0.0366724372169104
GTEX.11LCK.1526.SM.5HL64	GTEX-11LCK-1526-SM-5HL64	30-39	2	0.0977824980582296	0.0288863216966266
GTEX.11NUK.1726.SM.5A5L2	GTEX-11NUK-1726-SM-5A5L2	50-59	2	0.0663926888963392	0.108729836875697
GTEX.11O72.2026.SM.5N9G8	GTEX-11O72-2026-SM-5N9G8	40-49	2	0.045559170905842	-0.027846443531782
GTEX.11OF3.2326.SM.5GU73	GTEX-11OF3-2326-SM-5GU73	60-69	2	-0.176208480980408	-0.178478487101589
GTEX.11P7K.1426.SM.5EGKY	GTEX-11P7K-1426-SM-5EGKY	30-39	2	0.0338240558796581	-0.0119834417521269
GTEX.11P81.1026.SM.5GU54	GTEX-11P81-1026-SM-5GU54	30-39	1	0.099198552921645	0.0595427348866353
GTEX.11P82.0426.SM.5HL5D	GTEX-11P82-0426-SM-5HL5D	20-29	2	-0.148112079405695	-0.184023410223592
GTEX.11TT1.0626.SM.5GU4X	GTEX-11TT1-0626-SM-5GU4X	20-29	2	-0.027270457133694	-0.079993047016574
GTEX.11UD2.1526.SM.5EQLQ	GTEX-11UD2-1526-SM-5EQLQ	50-59	2	-0.15706942121908	-0.180166573206395
GTEX.11VI4.0826.SM.5GU5N	GTEX-11VI4-0826-SM-5GU5N	40-49	1	-0.150930631717775	-0.179198092273308
GTEX.11WQK.2226.SM.5CVL7	GTEX-11WQK-2226-SM-5CVL7	50-59	2	-0.0355878095751812	-0.0676814646141207
GTEX.11XUK.0926.SM.5EQL3	GTEX-11XUK-0926-SM-5EQL3	40-49	1	0.0268962513628652	-0.0114675665472933
GTEX.11ZTS.2726.SM.5EQLU	GTEX-11ZTS-2726-SM-5EQLU	60-69	1	-0.0922261969531399	-0.134159467285333
GTEX.1211K.1326.SM.5FQV2	GTEX-1211K-1326-SM-5FQV2	60-69	1	-0.00461894226970242	0.0551172678119563
GTEX.12696.1526.SM.5EGL6	GTEX-12696-1526-SM-5EGL6	60-69	2	0.245804941078805	0.265948506527544
GTEX.12C56.0426.SM.5FQU1	GTEX-12C56-0426-SM-5FQU1	20-29	2	-0.0283684980819865	-0.0231554131550242
GTEX.12WSD.2026.SM.5HL7D	GTEX-12WSD-2026-SM-5HL7D	60-69	1	0.187663408469604	0.163042962549135
GTEX.12WSJ.0826.SM.5PNWV	GTEX-12WSJ-0826-SM-5PNWV	40-49	1	-0.245364686029723	-0.210420403137082
GTEX.12WSK.1326.SM.5CVNM	GTEX-12WSK-1326-SM-5CVNM	40-49	1	-0.186596221766395	-0.193949770485447
GTEX.12WSL.1226.SM.5DUXE	GTEX-12WSL-1226-SM-5DUXE	50-59	2	0.0186518586742472	0.045866278136343
GTEX.12WSN.1826.SM.5LZUT	GTEX-12WSN-1826-SM-5LZUT	40-49	2	0.0571500250650788	0.0106303135056522
GTEX.13111.1126.SM.5GCMZ	GTEX-13111-1126-SM-5GCMZ	50-59	2	0.130615942803944	0.117367468916398
GTEX.13113.0626.SM.5GCP2	GTEX-13113-0626-SM-5GCP2	60-69	1	-0.123760038482862	-0.173488488829847
GTEX.131XE.1526.SM.5KM1A	GTEX-131XE-1526-SM-5KM1A	50-59	2	0.167118862281881	0.1682261271606
GTEX.131XF.1126.SM.5HL8J	GTEX-131XF-1126-SM-5HL8J	60-69	2	0.0544191736892451	0.16386221378489
GTEX.131XG.1126.SM.5DUWR	GTEX-131XG-1126-SM-5DUWR	50-59	1	-0.0173811250156152	-0.0088345786452851
GTEX.132AR.2526.SM.5PNVM	GTEX-132AR-2526-SM-5PNVM	50-59	1	0.139255843435579	0.125416630798095
GTEX.132NY.2026.SM.5L3FM	GTEX-132NY-2026-SM-5L3FM	60-69	2	-0.0393185102667906	-0.0890020787753719
GTEX.132QS.1626.SM.5K7YZ	GTEX-132QS-1626-SM-5K7YZ	60-69	2	0.193165448612581	0.230959497169351
GTEX.1339X.1126.SM.5J2OI	GTEX-1339X-1126-SM-5J2OI	40-49	2	0.00665836834303791	-0.0369547901975129
GTEX.1399R.0926.SM.5J2N8	GTEX-1399R-0926-SM-5J2N8	30-39	2	0.0531305016661952	0.0510289653616377
GTEX.1399S.1526.SM.5P9JC	GTEX-1399S-1526-SM-5P9JC	30-39	1	0.103646536484419	0.065013514326679
GTEX.1399U.1426.SM.5J1N8	GTEX-1399U-1426-SM-5J1N8	50-59	1	-0.0326965732646957	0.00395570371113449
GTEX.139T6.0826.SM.5J1O2	GTEX-139T6-0826-SM-5J1O2	50-59	2	0.250808534973075	0.269725730875605
GTEX.139YR.1826.SM.5LZXA	GTEX-139YR-1826-SM-5LZXA	50-59	2	-0.0169588852957916	0.0109703901818394
GTEX.13CF3.1726.SM.5LU9E	GTEX-13CF3-1726-SM-5LU9E	60-69	1	0.0321301100046839	0.06515309535465
GTEX.13D11.2026.SM.5IJBK	GTEX-13D11-2026-SM-5IJBK	50-59	1	0.036307421031643	0.023561630362341
GTEX.13FH7.0626.SM.5KLZD	GTEX-13FH7-0626-SM-5KLZD	50-59	1	0.00822802912883432	0.0169219205143918
GTEX.13FLV.1326.SM.5L3EJ	GTEX-13FLV-1326-SM-5L3EJ	50-59	2	-0.0151385473589621	-0.0618750188981483
GTEX.13FTW.1926.SM.5K7Y4	GTEX-13FTW-1926-SM-5K7Y4	40-49	2	-0.234647777484439	-0.236398256693287
GTEX.13N1W.1926.SM.5IJCH	GTEX-13N1W-1926-SM-5IJCH	70-79	2	0.0454867473875023	0.0683209053239573
GTEX.13NYB.1326.SM.5K7Y1	GTEX-13NYB-1326-SM-5K7Y1	40-49	2	-0.011045000556208	-0.0785340696619221
GTEX.13O21.0726.SM.5L3EG	GTEX-13O21-0726-SM-5L3EG	50-59	2	0.305530763118541	0.33902880361784
GTEX.13O3P.2726.SM.5KM2R	GTEX-13O3P-2726-SM-5KM2R	50-59	2	-0.160550780242362	-0.160706804444182
GTEX.13O61.1226.SM.5KM21	GTEX-13O61-1226-SM-5KM21	60-69	2	-0.045268438992932	-0.0171500182975281
GTEX.13OVG.1026.SM.5KLZ3	GTEX-13OVG-1026-SM-5KLZ3	60-69	2	0.0101895694062331	0.0796886487625144
GTEX.13OVH.1826.SM.5K7YW	GTEX-13OVH-1826-SM-5K7YW	70-79	2	-0.0181556002356869	-0.0581290929536971
GTEX.13OVJ.1426.SM.5K7Z2	GTEX-13OVJ-1426-SM-5K7Z2	50-59	1	0.00031987271522483	-0.0772422613532759
GTEX.13OVL.2726.SM.5J2MP	GTEX-13OVL-2726-SM-5J2MP	50-59	2	-0.123655873261934	-0.112708725386811
GTEX.13OW6.1626.SM.5IJD5	GTEX-13OW6-1626-SM-5IJD5	50-59	2	-0.00753067774445526	-0.0587900587776529
GTEX.13OW7.1926.SM.5LUB4	GTEX-13OW7-1926-SM-5LUB4	50-59	2	0.0403024142673327	-0.0752471592778292
GTEX.13OW8.2426.SM.9WPNM	GTEX-13OW8-2426-SM-9WPNM	60-69	2	0.00151536118400063	-0.0410237349473691
GTEX.13PL7.0526.SM.5J2MQ	GTEX-13PL7-0526-SM-5J2MQ	60-69	1	-0.117734635906372	-0.0559288968504777
GTEX.13PVQ.1926.SM.5L3GN	GTEX-13PVQ-1926-SM-5L3GN	50-59	2	0.0284336066907539	0.0180473502950642
GTEX.13PVR.2026.SM.73KXT	GTEX-13PVR-2026-SM-73KXT	60-69	1	-0.141398553378445	-0.0776249099129187
GTEX.13QBU.0826.SM.5IJBU	GTEX-13QBU-0826-SM-5IJBU	40-49	1	0.277643184344417	0.251403004760021
GTEX.13QIC.2026.SM.5N9G9	GTEX-13QIC-2026-SM-5N9G9	60-69	1	-0.223647185083554	-0.228476822743946
GTEX.13QJ3.1926.SM.5QGQM	GTEX-13QJ3-1926-SM-5QGQM	50-59	2	-0.210366535687105	-0.155907616008185
GTEX.13RTK.0426.SM.5RQHT	GTEX-13RTK-0426-SM-5RQHT	20-29	2	0.027985350505123	0.0432044069862136
GTEX.13U4I.1326.SM.5KM25	GTEX-13U4I-1326-SM-5KM25	40-49	1	0.0650756316283016	0.0749221093241168
GTEX.13VXT.1826.SM.5KM2F	GTEX-13VXT-1826-SM-5KM2F	20-29	1	0.0376507485645569	0.0169669555739907
GTEX.13VXU.1126.SM.5LU3U	GTEX-13VXU-1126-SM-5LU3U	50-59	2	-0.0283580154110804	-0.129694060484554
GTEX.13W3W.1826.SM.5IJDE	GTEX-13W3W-1826-SM-5IJDE	60-69	1	-0.220218234253956	-0.163176520717122
GTEX.13X6H.1526.SM.5Q5E2	GTEX-13X6H-1526-SM-5Q5E2	50-59	1	-0.10136711748008	-0.103605404863577
GTEX.13X6J.1726.SM.5TDCS	GTEX-13X6J-1726-SM-5TDCS	50-59	2	-0.00377804676543662	0.0400447829198826
GTEX.13YAN.1826.SM.5LU3Q	GTEX-13YAN-1826-SM-5LU3Q	60-69	2	0.317964528821494	0.298892315768025
GTEX.144FL.2626.SM.5TDCW	GTEX-144FL-2626-SM-5TDCW	50-59	2	-0.0561734428083457	-0.0893095775911786
GTEX.144GM.1626.SM.5O9AG	GTEX-144GM-1626-SM-5O9AG	20-29	2	0.0176593751711521	0.00267201140428847
GTEX.145MF.1526.SM.5LU95	GTEX-145MF-1526-SM-5LU95	50-59	2	-0.0662136212662038	-0.0988939466141742
GTEX.146FH.1926.SM.5Q5B2	GTEX-146FH-1926-SM-5Q5B2	50-59	1	0.101715887303488	0.108522288473415
GTEX.148VI.1226.SM.5RQJR	GTEX-148VI-1226-SM-5RQJR	60-69	1	0.155430336022197	0.197227169615802
GTEX.1497J.2126.SM.5NQB8	GTEX-1497J-2126-SM-5NQB8	60-69	2	0.37013988642775	0.308184085417183
