SAMPID	AGE	SEX	SVA_AGE	SVA_SEX
GTEX-1117F-3226-SM-5N9CT	60-69	2	-0.00787289923466098	-0.00987611047939419
GTEX-111FC-3126-SM-5GZZ2	60-69	1	0.0202729454097967	0.019815442873637
GTEX-1128S-2726-SM-5H12C	60-69	2	-0.00639041561467846	-0.0103843698461072
GTEX-117XS-3026-SM-5N9CA	60-69	1	0.0104216667802736	0.0108684839386953
GTEX-1192X-3126-SM-5N9BY	50-59	1	-0.0386312224303132	-0.028960647802676
GTEX-11EI6-3026-SM-5GZZO	60-69	1	0.00401779804670884	0.00543716437494321
GTEX-11EMC-3226-SM-5EGKW	60-69	2	-0.011274350063215	-0.0116839963142482
GTEX-11GS4-3126-SM-5A5LH	60-69	1	-0.00261710445171664	-0.0067920082812016
GTEX-11GSO-2926-SM-5HL73	60-69	1	0.0420250951326548	0.0405740193121107
GTEX-11GSP-3226-SM-5986O	60-69	2	0.0120827202661457	0.0132169525657915
GTEX-11NUK-2926-SM-5A5MD	50-59	1	0.00341318878010423	0.00551257967960608
GTEX-11NV4-2126-SM-5N9DS	60-69	1	-0.00951526735163243	-0.00622711138542051
GTEX-11O72-2926-SM-5BC4V	40-49	1	0.0218999083274553	0.0307754272721791
GTEX-11OF3-2926-SM-5HL78	60-69	1	-0.00149113716815699	-0.00194961519867531
GTEX-11ONC-2926-SM-5P9JM	60-69	1	0.0143173221854885	0.0134657374307601
GTEX-11PRG-2926-SM-5987A	50-59	1	0.00354389417824712	0.00745660093183638
GTEX-11TTK-2926-SM-5PNYP	60-69	2	0.0018726589447429	0.00492571723964731
GTEX-11WQK-3026-SM-5EQL6	50-59	1	0.023885811277127	0.0374516097665556
GTEX-11ZUS-2926-SM-5FQSL	30-39	1	0.0129202357144705	0.0114725667918169
GTEX-12126-1026-SM-5P9JJ	20-29	1	-0.00555855093561369	-0.00781717578897847
GTEX-12WSA-2926-SM-5EQ4D	60-69	1	-0.00381032732363872	-0.00720942199482457
GTEX-12WSD-3126-SM-5HL7P	60-69	2	0.0476015275532729	0.0438274464027943
GTEX-12WSF-3126-SM-6M478	70-79	1	-0.00369628133178986	-0.00415891445075745
GTEX-12WSH-3026-SM-5CVNI	50-59	1	-0.0272393969315835	-0.0226137551757366
GTEX-12ZZW-2926-SM-5LZUP	50-59	1	0.00808601653879742	0.0129284307479582
GTEX-12ZZX-2926-SM-5GCOQ	40-49	2	-0.012847575729574	-0.0142184250107461
GTEX-12ZZY-3026-SM-5GCOU	60-69	1	-0.0151235805805456	-0.0173697346537788
GTEX-12ZZZ-3026-SM-5BC67	60-69	1	-0.0133155618452112	-0.00692730687775063
GTEX-1313W-3126-SM-5LZUI	50-59	2	0.0039819928304385	9.84913253128441e-05
GTEX-131XW-3126-SM-5LZUC	50-59	2	0.0103238265661523	0.00686273077440823
GTEX-131YS-3126-SM-5KLYT	60-69	2	0.0077268468274645	0.00592796345525266
GTEX-132Q8-3026-SM-5PNVG	60-69	1	-0.026317725637286	-0.0239916209859363
GTEX-1399T-3026-SM-5KLZC	60-69	1	0.00328720145311688	0.00801522466782505
